date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:52	19702/19702	---M--	200	added ('OK')	application/javascript	etag:%221dc59e1-4cf6-5e4ea408cc200%22	https://themes.pixelstrap.com/fastkart/assets/js/clipboard.min.js	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/js/clipboard.min.js	(from https://themes.pixelstrap.com/fastkart/front-end/index-5.html)
15:19:52	308/308	---M--	200	added ('OK')	application/javascript	etag:%221dc59c7-134-5e6ce013d4f80%22	https://themes.pixelstrap.com/fastkart/assets/js/copy-clipboard.js	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/js/copy-clipboard.js	(from https://themes.pixelstrap.com/fastkart/front-end/index-5.html)
15:19:52	367/367	---M--	200	added ('OK')	image/png	etag:%221dc5dc5-16f-5e723275f9380%22	https://themes.pixelstrap.com/fastkart/assets/images/favicon/7.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/favicon/7.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:53	6664/6664	---M--	200	added ('OK')	image/png	etag:%221dc5fbc-1a08-5e723275f9380%22	https://themes.pixelstrap.com/fastkart/assets/images/logo/6.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/logo/6.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:53	483594/483594	---M--	200	added ('OK')	image/jpeg	etag:%221dc6114-7610a-5eb74002965c0%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/banner/1.jpg	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/banner/1.jpg	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:53	90845/90845	---M--	200	added ('OK')	image/png	etag:%221dc6117-162dd-5eb6f4a0fcd00%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/banner/2.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/banner/2.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:53	67170/67170	---M--	200	added ('OK')	image/png	etag:%221dc60fa-10662-5eb46cd68f880%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/1.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/1.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:54	1017308/1017308	---M--	200	added ('OK')	image/png	etag:%221dc60fb-f85dc-5eb46cd68f880%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/2.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/2.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:54	285062/285062	---M--	200	added ('OK')	image/png	etag:%221dc60fc-45986-5eb46cd68f880%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/3.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/3.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:55	404524/404524	---M--	200	added ('OK')	image/png	etag:%221dc60fd-62c2c-5eb46cd877d00%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/4.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/4.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:55	229907/229907	---M--	200	added ('OK')	image/png	etag:%221dc60fe-38213-5eb46cd877d00%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/5.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/5.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:55	242619/242619	---M--	200	added ('OK')	image/png	etag:%221dc60ff-3b3bb-5eb46cd877d00%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/6.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/6.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:55	151613/151613	---M--	200	added ('OK')	image/png	etag:%221dc6100-2503d-5eb46cd877d00%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/7.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/7.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
15:19:55	84408/84408	---M--	200	added ('OK')	image/png	etag:%221dc6101-149b8-5eb46cd877d00%22	https://themes.pixelstrap.com/fastkart/assets/images/furniture/8.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/furniture/8.png	(from https://themes.pixelstrap.com/fastkart/front-end/index-6.html)
